time_period,rainfall,mean_temperature,disease_cases,location
2024-01-01,2.0,21.0,12,Finnmark
2024-01-02,13.935363072596369,25.76214458453487,17,Finnmark
2024-01-03,16.089092070083247,25.281878308689677,22,Finnmark
2024-01-04,8.36928560766972,27.724018918882187,15,Finnmark
2024-01-05,15.562086580159317,25.712289035696074,19,Finnmark
2024-01-06,18.654794762887814,24.333759351461797,17,Finnmark
2024-01-07,21.107896306303807,25.983682112274366,19,Finnmark
2024-01-08,17.808420245108383,27.379519749712205,19,Finnmark
2024-01-09,17.342066630206777,27.13911452362868,18,Finnmark
2024-01-10,24.771884442605412,25.69424124190499,23,Finnmark
2024-01-11,15.891054494987515,25.449017250320434,19,Finnmark
2024-01-12,17.727675105407144,19.697120350611275,18,Finnmark
2024-01-13,12.875355595861823,24.594029454245586,17,Finnmark
2024-01-14,13.099494461957526,25.861353351697506,16,Finnmark
2024-01-15,14.305941560584142,23.24594645016096,17,Finnmark
2024-01-16,7.104012428689513,24.186736611544916,15,Finnmark
2024-01-17,22.399593760847047,24.583458135635933,22,Finnmark
2024-01-18,14.940272031751658,25.024652056940294,21,Finnmark
2024-01-19,14.501834913551493,25.070749604299415,20,Finnmark
2024-01-20,30.37669082610904,26.824079308660806,26,Finnmark
2024-01-21,3.978008671714761,26.343430918592894,16,Finnmark
2024-01-22,20.977816713064524,30.197270936657297,19,Finnmark
2024-01-23,13.142018306287593,21.504107338615647,15,Finnmark
2024-01-24,17.339395401665886,25.503882735136397,18,Finnmark
2024-01-25,20.53613119919223,29.209538267201424,21,Finnmark
2024-01-26,17.221749627618017,27.81727629425815,19,Finnmark
2024-01-27,17.102703946160716,25.918700116496453,18,Finnmark
2024-01-28,18.025829424197738,23.28673029933063,23,Finnmark
2024-01-29,19.311341458380546,28.79163597494138,24,Finnmark
2024-01-30,1.2391796963059845,24.160556503061173,11,Finnmark
2024-01-31,20.148320492538662,30.494080222156335,19,Finnmark
2024-02-01,9.352809120441432,28.9094875252461,16,Finnmark
2024-02-02,8.239414124277417,24.15419583576926,13,Finnmark
2024-02-03,24.57761256523172,25.30555612119252,21,Finnmark
2024-02-04,16.07715399421628,27.215043259032665,19,Finnmark
2024-02-05,10.353741850621297,24.86299573233291,20,Finnmark
2024-02-06,11.215370555192113,29.403212826213924,17,Finnmark
2024-02-07,16.37948182776618,28.48272338910336,19,Finnmark
2024-02-08,7.395178094918116,30.42235900216306,17,Finnmark
2024-02-09,19.95678581767316,25.805692125010083,21,Finnmark
2024-02-10,18.55850409853419,30.280042360419298,21,Finnmark
2024-02-11,27.044570055272683,27.74454761740615,22,Finnmark
2024-02-12,14.336244619204162,24.126207437566002,23,Finnmark
2024-02-13,13.991485959864116,25.392292024746002,17,Finnmark
2024-02-14,20.825548884612903,28.2529436116433,21,Finnmark
2024-02-15,15.076518332872777,27.053273592919815,20,Finnmark
2024-02-16,22.85462829625096,30.34985397148536,24,Finnmark
2024-02-17,22.512615743305286,27.06942007577887,22,Finnmark
2024-02-18,25.38669997204037,28.155849078907405,24,Finnmark
2024-02-19,24.732319823175626,30.632857938055345,26,Finnmark
2024-02-20,13.418755660641118,28.69423026796528,20,Finnmark
2024-02-21,6.776660496700872,28.16365001463277,16,Finnmark
2024-02-22,12.793534786240528,26.24406995775136,15,Finnmark
