time_period,rainfall,mean_temperature,disease_cases,location
2024-01-01,54.0,25.0,37,Finnmark
2024-01-02,7.132027557373988,25.09610612819517,30,Finnmark
2024-01-03,11.244435326397351,25.10753311876804,28,Finnmark
2024-01-04,15.153570663560306,22.06476488631166,27,Finnmark
2024-01-05,12.221431539911675,22.6044529801683,24,Finnmark
2024-01-06,27.20596702126668,25.409772628779734,29,Finnmark
2024-01-07,11.597618353415278,26.916858165501992,23,Finnmark
2024-01-08,9.487846691185648,21.773147260389,21,Finnmark
2024-01-09,6.706097532750597,27.454213870727397,20,Finnmark
2024-01-10,10.178385972031963,27.441041682049477,20,Finnmark
2024-01-11,7.374750830646423,22.251828387595207,18,Finnmark
2024-01-12,14.000031385105778,24.18021735381362,18,Finnmark
2024-01-13,17.114566961653303,23.042137146532294,17,Finnmark
2024-01-14,6.891217045746279,22.792066600067592,18,Finnmark
2024-01-15,23.97412980509415,27.819554427777955,19,Finnmark
2024-01-16,8.46616365055642,28.934893489813046,21,Finnmark
2024-01-17,24.437189311018674,23.125170300194313,19,Finnmark
2024-01-18,23.122062031574714,24.935895090152513,21,Finnmark
2024-01-19,14.770025649951162,23.6700655939915,21,Finnmark
2024-01-20,14.520812043644938,26.736373583870645,21,Finnmark
2024-01-21,16.08535689242832,29.09433332604307,15,Finnmark
2024-01-22,20.090159596056473,20.39974175617056,19,Finnmark
2024-01-23,18.08336782280045,26.1162696685973,21,Finnmark
2024-01-24,14.301727063147206,22.70351316346638,22,Finnmark
2024-01-25,22.35920947193556,23.837999810943185,22,Finnmark
2024-01-26,15.941135519293704,22.94137983123417,21,Finnmark
2024-01-27,25.307815549409337,30.15677783790152,23,Finnmark
2024-01-28,18.541348535849952,26.62748679382048,25,Finnmark
2024-01-29,14.491736418499954,28.52056027828387,23,Finnmark
2024-01-30,0.8343155167264351,26.927245610589978,20,Finnmark
2024-01-31,8.361839477273868,29.396040709019605,21,Finnmark
2024-02-01,10.088311745992167,26.199794433048574,20,Finnmark
2024-02-02,15.553092644213427,23.075328536372034,19,Finnmark
2024-02-03,21.803232286947893,26.928297032492367,19,Finnmark
2024-02-04,15.200826467908554,26.02962254416797,19,Finnmark
2024-02-05,7.537929279817201,32.33989316700624,20,Finnmark
2024-02-06,21.868614540545416,25.230186512295337,22,Finnmark
2024-02-07,8.736393050143462,28.127359662989647,21,Finnmark
2024-02-08,12.109888395353277,26.745769306170452,20,Finnmark
2024-02-09,12.062525296330904,26.972922818250826,20,Finnmark
2024-02-10,10.9121385762161,23.684431881357735,20,Finnmark
2024-02-11,19.65059809613712,28.125691595507554,22,Finnmark
2024-02-12,20.951748591455484,31.22455508310677,25,Finnmark
2024-02-13,7.5781155738167065,28.974102616220396,24,Finnmark
2024-02-14,6.761929431291293,26.489462144248805,22,Finnmark
2024-02-15,2.075449750777313,24.63249765830483,20,Finnmark
2024-02-16,15.205662156618953,24.335787619162193,23,Finnmark
2024-02-17,9.026860779474271,29.259477255392653,21,Finnmark
2024-02-18,29.723834474585924,28.354080916666682,27,Finnmark
2024-02-19,12.057717640861888,28.20499148013635,24,Finnmark
2024-02-20,19.643151023611473,29.372513150105792,25,Finnmark
2024-02-21,30.144058342652773,28.39995290440814,23,Finnmark
2024-02-22,13.280082139262326,26.80660754808241,25,Finnmark
2024-02-23,8.92555278764691,29.38976761990853,23,Finnmark
2024-02-24,11.63239132586398,26.538963109525326,21,Finnmark
2024-02-25,21.40320667701885,28.581966735469177,22,Finnmark
2024-02-26,10.307971783581129,26.61212945678644,20,Finnmark
2024-02-27,9.918813892314644,29.479776745388275,19,Finnmark
2024-02-28,22.058109971190962,29.80562981867348,22,Finnmark
2024-02-29,24.773066408325086,26.91628754033759,22,Finnmark
2024-03-01,9.686759632359266,30.16902523043917,21,Finnmark
2024-03-02,11.483262802279345,32.25050674284057,22,Finnmark
2024-03-03,16.370994670872513,27.538323009168558,20,Finnmark
2024-03-04,12.73558223651061,29.808448316211734,19,Finnmark
2024-03-05,67.12221178274798,28.879197963834944,31,Finnmark
2024-03-06,73.52624144109257,27.141773427319038,32,Finnmark
2024-03-07,83.12834704171013,31.02175342523815,38,Finnmark
2024-03-08,103.22422942980288,29.032807266907465,43,Finnmark
2024-03-09,98.43871455985669,31.901711254080052,47,Finnmark
2024-03-10,65.21353109624874,28.46381048450258,46,Finnmark
2024-03-11,82.079157019024,28.76842095323098,46,Finnmark
2024-03-12,46.83709983632175,29.534403487538487,45,Finnmark
2024-03-13,57.110284675737205,27.78065841536441,46,Finnmark
2024-03-14,85.5983659006421,30.199455095787098,47,Finnmark
2024-03-15,72.42543562701599,27.653962881635128,46,Finnmark
2024-03-16,53.34823016048087,29.675920915064243,43,Finnmark
2024-03-17,64.64677086677064,27.490069150281677,43,Finnmark
2024-03-18,44.0078333249017,30.415838808148106,41,Finnmark
2024-03-19,94.97169236105293,29.99266926561144,43,Finnmark
2024-03-20,52.33403995549797,29.067552697442324,42,Finnmark
2024-03-21,61.56719030773462,29.516263947673263,43,Finnmark
2024-03-22,47.08789701875156,28.784365734934113,42,Finnmark
2024-03-23,49.59150618778075,30.209116907811342,42,Finnmark
2024-03-24,67.06721452793647,30.03816336324233,43,Finnmark
2024-03-25,56.639995482618716,30.25229643163479,41,Finnmark
2024-03-26,58.384793641715206,30.7866658014148,40,Finnmark
2024-03-27,83.5231971007849,29.43867784246415,43,Finnmark
2024-03-28,97.24974876524979,28.85448349880152,45,Finnmark
2024-03-29,71.79489655242571,26.094629634928715,39,Finnmark
2024-03-30,53.22109274995376,29.076988065831994,38,Finnmark
2024-03-31,74.14523359185301,32.19739894548283,42,Finnmark
2024-04-01,42.33691924509992,30.27064350181119,40,Finnmark
2024-04-02,50.29954824469764,28.094607969737833,36,Finnmark
2024-04-03,119.3133796672947,28.803766630128614,46,Finnmark
2024-04-04,67.54303069187436,28.75827068683028,47,Finnmark
2024-04-05,51.452122581354715,29.54124980032317,44,Finnmark
2024-04-06,79.61469944458003,29.221753379314805,45,Finnmark
2024-04-07,44.719804883197405,32.7650658979027,42,Finnmark
2024-04-08,76.35963321092547,27.610764576767277,43,Finnmark
2024-04-09,38.94245235475604,27.915299272051424,40,Finnmark
2024-04-10,124.98131450323456,27.3260054007688,48,Finnmark
2024-04-11,62.84160300054518,29.280129823857017,45,Finnmark
2024-04-12,111.11698373105662,27.78210420977123,49,Finnmark
2024-04-13,45.06383255951179,28.1489211944377,46,Finnmark
2024-04-14,35.567406010184676,26.578276826102513,40,Finnmark
2024-04-15,78.89632352112365,30.990841742381754,46,Finnmark
2024-04-16,51.06426494791131,28.283575451968105,47,Finnmark
2024-04-17,91.35127666841355,28.502968644838106,52,Finnmark
2024-04-18,81.08906718395478,31.652827996122188,51,Finnmark
2024-04-19,69.6710429803817,33.2549846116075,50,Finnmark
2024-04-20,98.9592481821733,31.68470879593911,50,Finnmark
2024-04-21,59.466667984348376,28.670575305885666,49,Finnmark
2024-04-22,88.8060216513073,26.241818068762534,51,Finnmark
2024-04-23,54.08595177324614,27.80726646794156,49,Finnmark
2024-04-24,48.6718758237854,28.48718408486681,47,Finnmark
2024-04-25,78.43762040295076,25.236512317018963,49,Finnmark
2024-04-26,50.24692995263002,26.03621881622968,45,Finnmark
2024-04-27,46.6114244103191,29.135833237989157,44,Finnmark
2024-04-28,139.35452608800847,30.612923621859796,52,Finnmark
2024-04-29,47.93597827794406,29.39284028775497,49,Finnmark
2024-04-30,59.6286855013712,29.25178053769117,46,Finnmark
2024-05-01,63.67459115138162,29.231469786784462,45,Finnmark
2024-05-02,59.38238001919639,30.647781460041934,43,Finnmark
2024-05-03,53.99122500725308,30.34000011892024,43,Finnmark
2024-05-04,69.26339014043938,25.813144938755666,41,Finnmark
2024-05-05,73.80532710261971,25.924372950241064,44,Finnmark
2024-05-06,63.631173605204665,26.2130090696755,43,Finnmark
2024-05-07,77.79972871464297,29.847973616904515,45,Finnmark
2024-05-08,51.80250536464465,27.206788759443445,42,Finnmark
2024-05-09,83.92096459033685,31.507241382688846,45,Finnmark
2024-05-10,66.19266423846001,34.214371410133964,46,Finnmark
2024-05-11,37.4524357699596,30.386709331924397,47,Finnmark
2024-05-12,57.774941347590946,24.335924547010542,45,Finnmark
2024-05-13,71.54866326033523,27.351209377939202,47,Finnmark
2024-05-14,77.39852414099845,27.761365234079392,46,Finnmark
2024-05-15,74.12923728240543,22.407263970886024,46,Finnmark
2024-05-16,93.05654224599498,28.40705384983957,49,Finnmark
2024-05-17,133.74404723847206,30.357283849155348,56,Finnmark
2024-05-18,67.7964992660924,25.04907518035887,50,Finnmark
2024-05-19,81.0191708888948,24.667866101350704,50,Finnmark
2024-05-20,40.04025626312876,25.898951929947696,42,Finnmark
2024-05-21,85.977116701,27.543800971836625,43,Finnmark
2024-05-22,42.060729180418775,27.344311365984872,40,Finnmark
2024-05-23,129.03802061195688,28.589525086291335,48,Finnmark
2024-05-24,65.49758257367459,26.949323260399826,44,Finnmark
2024-05-25,69.80845633553261,27.344389556592745,43,Finnmark
2024-05-26,52.11637507284299,28.48230500747126,39,Finnmark
2024-05-27,56.22940695318623,28.284771170424538,38,Finnmark
2024-05-28,112.77198175782449,30.508484798789738,42,Finnmark
2024-05-29,39.02306101496414,24.469288197666167,35,Finnmark
2024-05-30,85.26793864006602,26.734649747075387,38,Finnmark
2024-05-31,81.27745223191943,26.55102206089775,39,Finnmark
2024-06-01,47.987815914114776,26.950933368047835,35,Finnmark
2024-06-02,77.32004411372458,25.52408771242096,38,Finnmark
2024-06-03,37.66148602564455,28.082249495851286,33,Finnmark
2024-06-04,51.128688659354914,26.159490036414148,32,Finnmark
2024-06-05,20.12273701664865,25.372663042284163,29,Finnmark
2024-06-06,50.778202135696425,21.89160964507271,31,Finnmark
2024-06-07,62.00995185268989,25.775599258580346,32,Finnmark
